ADDRESS_FULL,ADDRESS_NUMBER,ADDRESS_POINT_ID,BICYCLE_CAPACITY,BY_LAW,CENTRELINE_ID,CITY,DETAILS,FLANKING,GENERAL_USE_CODE,HI_NUM,HI_NUM_SUF,ID,LATITUDE,LINEAR_NAME_FULL,LINEAR_NAME_ID,LONGITUDE,LO_NUM,LO_NUM_SUF,MUNICIPALITY,OBJECTID,PARKING_TYPE,PLACE_NAME,POSTAL_CODE,SIZE_M,WARD,X,Y,YEAR_INSTALLED,_id,geometry
44 Lisgar St,44,30035742,8,N/A,14024655,Toronto,,Lisgar St,107010,,,67,43.642086536,Lisgar St,3859,-79.423441189,44,,former Toronto,67,Bike Rack,,,2.9,Davenport (9),,,2016,7906,POINT (-79.42344118566274 43.64208653522892)
441 King St W,441,10223670,8,N/A,10223667,Toronto,,King St W,115001,,,68,43.645148834,King St W,3780,-79.395671529,441,,former Toronto,68,Bike Rack,,M5V 1K4,2.9,Spadina-Fort York (10),,,2016,7907,POINT (-79.39567152285778 43.64514883966961)
449 Parliament St,449,9980658,8,N/A,14023933,Toronto,,Spruce St,115001,,,69,43.6635151665,Parliament St,4162,-79.3671658667,449,,former Toronto,69,Bike Rack,,M5A 3A3,2.9,Toronto Centre (13),,,2016,7908,POINT (-79.36716264149887 43.66350658442036)
468 King St W,468,10223676,8,N/A,10223667,Toronto,,King St W,115001,,,70,43.6455536656,King St W,3780,-79.3959299602,468,,former Toronto,70,Bike Rack,,M5V 1L8,2.9,Spadina-Fort York (10),,,2016,7909,POINT (-79.39592671852915 43.64554508749305)
47 Lower River St,47,30038007,24,N/A,30037989,Toronto,,Trolley Cres,100002,,,71,43.656498597,Lower River St,19546,-79.355541057,47,,former Toronto,71,Bike Rack,,M5A 0G1,2.9,Toronto Centre (13),,,2016,7910,POINT (-79.35554106317002 43.65649859699084)
49 Givins St,49,11180397,8,N/A,11180398,Toronto,,Shaw St,102002,,,72,43.6464162386,Givins St,3505,-79.417587538,49,,former Toronto,72,Bike Rack,Givins/Shaw Public School,M6J 2X5,2.9,Spadina-Fort York (10),,,2013,7911,POINT (-79.41758429237665 43.64640765734767)
490 Bloor St W,490,12107167,8,N/A,12107157,Toronto,,Albany Ave,115001,,,73,43.6656369208,Bloor St W,458,-79.4097654543,490,,former Toronto,73,Bike Rack,,M5S 1X8,2.9,University-Rosedale (11),,,2016,7912,POINT (-79.40976220625278 43.66562834096708)
5 Bartonville Ave E,5,51630,8,N/A,20112838,Toronto,,,104008,,,74,43.6894931774,Bartonville Ave E,433,-79.4945859412,5,,York,74,Bike Rack,,M6M 2B1,2.9,York South-Weston (5),,,2017,7913,POINT (-79.49458267506101 43.68948459393456)
5 Salem Ave,5,14210933,8,N/A,14011464,Toronto,,Salem Ave,115001,,,75,43.6608537092,Salem Ave,4354,-79.4315633534,5,,former Toronto,75,Bike Rack,,M6H 3C2,2.9,Davenport (9),,,2014,7914,POINT (-79.43156010239449 43.6608451251421)
5 Walmer Rd,5,14211049,8,N/A,10759044,Toronto,,Walmer Rd,115001,,,76,43.6667110908,Walmer Rd,940,-79.4053816236,5,,former Toronto,76,Bike Rack,,,2.9,University-Rosedale (11),,,2016,7915,POINT (-79.40537838293081 43.66670250827347)
50 Portland St,50,854435,14,NO,14025624,Toronto,,Wellington St W,112001,,,77,43.64339526,Portland St,9780,-79.399965439,50,,former Toronto,77,Bike Corral,,M5V 2M7,5.5,Spadina-Fort York (10),,,2016,7916,POINT (-79.39996543566814 43.64339525924578)
500 King St W,500,10223683,8,N/A,10223667,Toronto,,King St W,115001,,,78,43.6453242368,King St W,3780,-79.3968083748,500,,former Toronto,78,Bike Rack,,M5V 1L9,2.9,Spadina-Fort York (10),,,2016,7917,POINT (-79.39680513800488 43.64531565582958)
509 Bloor St W,509,772852,8,N/A,1142919,Toronto,,Borden St W,107010,,,79,43.6654694823,Bloor St W,458,-79.4083892434,509,,former Toronto,79,Bike Rack,,M5S 1Y2,2.9,University-Rosedale (11),,,2017,7918,POINT (-79.40838599647337 43.66546090160737)
511 King St W,511,10222755,8,N/A,10222754,Toronto,,King St W,115001,,,80,43.6446321357,King St W,3780,-79.3978526577,511,,former Toronto,80,Bike Rack,,M5V 2Z4,2.9,Spadina-Fort York (10),,,2016,7919,POINT (-79.39784941753015 43.64462355132942)
516 Glenlake Ave,516,7466874,8,N/A,7466844,Toronto,,Glendonwynne Rd,106001,,,81,43.656121242,Glenlake Ave,3546,-79.474104821,516,,former Toronto,81,Bike Rack,Glenlake Square,,2.9,Parkdale-High Park (4),,,2017,7920,POINT (-79.47410482203614 43.65612124644892)
522 University Ave,522,2854062,16,N/A,2854059,Toronto,,Elm St,104008,,,82,43.6559270216,University Ave,4583,-79.389383358,522,,former Toronto,82,Bike Rack,,M5G 1W7,2.9,University-Rosedale (11),,,2016,7921,POINT (-79.38938012036053 43.65591843518082)
539 Parliament St,539,30028624,8,N/A,9980335,Toronto,,Winchester St,112001,,,83,43.666040784,Parliament St,4162,-79.368472368,539,,former Toronto,83,Bike Rack,,M4X 1P7,2.9,Toronto Centre (13),,,2016,7922,POINT (-79.36847237139587 43.66604078719257)
55 John St,55,825934,16,N/A,1146312,Toronto,,John St,104008,,,84,43.646162378,John St,9747,-79.3889347303,55,,former Toronto,84,Bike Rack,Metro Hall,M5V 3C6,2.9,Spadina-Fort York (10),,,2015,7923,POINT (-79.38893149205721 43.64615379351022)
584 Bloor St W,584,13991066,8,N/A,8353520,Toronto,,,115001,,,85,43.6651092517,Bloor St W,458,-79.4126968512,584,,former Toronto,85,Bike Rack,,M6G 1K4,2.9,University-Rosedale (11),,,2017,7924,POINT (-79.41269361216233 43.66510067269366)
595 Bay St,595,7792268,8,N/A,7792266,Toronto,,Dundas St W,104008,,,86,43.6562210316,Bay St,2962,-79.3833010622,595,,former Toronto,86,Bike Rack,,M5G 2C2,2.9,University-Rosedale (11),,,2016,7925,POINT (-79.38329782786812 43.65621244770021)
61 Front St W,61,10864312,72,N/A,10864309,Toronto,,Front St,115001,,,87,43.6452539881,Front St W,3472,-79.380073283,61,,former Toronto,87,Bike Rack,,M5J 1E5,2.9,Spadina-Fort York (10),,,2015,7926,POINT (-79.38007005363704 43.64524540568843)
612 Bloor St W,612,772899,8,N/A,1143160,Toronto,,,107010,,,88,43.6647427537,Bloor St W,458,-79.4138420659,612,,former Toronto,88,Bike Rack,,M6G 1K7,2.9,University-Rosedale (11),,,0,7927,POINT (-79.41383881581429 43.6647341700049)
621 King St W,621,10180172,8,N/A,14674278,Toronto,,King St W,115001,,,89,43.6440114614,King St W,3780,-79.4011530788,621,,former Toronto,89,Bike Rack,,M5V 1M5,2.9,Spadina-Fort York (10),,,2016,7928,POINT (-79.40114984598254 43.64400288295218)
636 Queen St E,636,30033825,8,N/A,11585489,Toronto,,Caroll St,112001,,,90,43.658432227,Queen St E,4237,-79.352595353,636,,former Toronto,90,Bike Rack,,M4M 1G3,2.9,Toronto-Danforth (14),,,2016,7929,POINT (-79.35259535018309 43.65843223281562)
65 Dundas St W,65,20040470,32,N/A,7762832,Toronto,,Bay St,112001,,,91,43.6556023619,Dundas St W,558,-79.3830105191,65,,former Toronto,91,Bike Rack,Eaton Centre Retail Entr,M5G 2C3,2.9,Toronto Centre (13),,,2016,7930,POINT (-79.38300728516927 43.65559377586233)
666 Queen St E,666,8292528,8,N/A,8292524,Toronto,,Munro St,107010,,,92,43.658698889,Queen St E,4237,-79.351500513,666,,former Toronto,92,Bike Rack,,M4M 1G8,2.9,Toronto-Danforth (14),,,2016,7931,POINT (-79.35150051425309 43.65869889392432)
675 Bloor St W,675,8416907,56,N/A,8416891,Toronto,,Manning Ave,115001,,,93,43.6638148143,Bloor St W,458,-79.4162571017,675,,former Toronto,93,Bike Rack,,M6G 1L3,2.9,University-Rosedale (11),,,2016,7932,POINT (-79.41625385498347 43.66380623449299)
686 Queen St W,686,856701,10,N/A,1146191,Toronto,,Euclid Ave,104008,,,94,43.6465867825,Queen St W,4238,-79.4079470332,686,,former Toronto,94,Bike Shelter,,M6J 1E7,3.0,Spadina-Fort York (10),,,2015,7933,POINT (-79.40794379647146 43.64657820358701)
692 Bloor St W,692,8416837,16,N/A,8416823,Toronto,,Clinton Pl,115001,,,95,43.663985824,Bloor St W,458,-79.4174364978,692,,former Toronto,95,Bike Rack,,M6G 1L4,2.9,University-Rosedale (11),,,2016,7934,POINT (-79.41743325393368 43.66397724476118)
693 Bloor St W,693,8416838,8,N/A,8416823,Toronto,,Clinton St,115001,,,96,43.6635495575,Bloor St W,458,-79.4173544455,693,,former Toronto,96,Bike Rack,,M6G 1L5,2.9,University-Rosedale (11),,,2016,7935,POINT (-79.4173511984097 43.66354097154042)
695 Lansdowne Ave,695,10335151,8,N/A,14012788,Toronto,,Lansdowne Ave,115001,,,97,43.659129042,Lansdowne Ave,3814,-79.442810428,695,,former Toronto,97,Bike Rack,,M6H 3Y9,2.9,Davenport (9),,,2014,7936,POINT (-79.44281042946152 43.65912904362075)
71 New Forest Sq,71,367443,8,N/A,20050441,Toronto,,Steeles Ave E,100001,,,98,43.8230417233,New Forest Sq,9497,-79.3074506176,71,,Scarborough,98,Bike Rack,,M1V 2Z6,2.9,Scarborough-Agincourt (22),,,2016,7937,POINT (-79.30744739069337 43.82303310613315)
71 Second St,71,7389731,8,N/A,7389724,Toronto,,Second St,102001,,,99,43.6036769908,Second St,2447,-79.49976953,71,,Etobicoke,99,Bike Rack,Second Street Junior Middle School,M8V 2X4,2.9,Etobicoke-Lakeshore (3),,,2016,7938,POINT (-79.49976625817399 43.60366842239148)
720 Bay St,720,10906649,8,N/A,10906644,Toronto,,Gerrard St W,115001,,,100,43.6588456913,Bay St,2962,-79.3854881693,720,,former Toronto,100,Bike Rack,,M5G 2K1,2.9,University-Rosedale (11),,,2016,7939,POINT (-79.38548493549631 43.65883711263024)
736 Bay St,736,14120392,8,N/A,7792579,Toronto,,Bay St,115001,,,101,43.6593520626,Bay St,2962,-79.3856502775,736,,former Toronto,101,Bike Rack,,M5G 2M4,2.9,University-Rosedale (11),,,2016,7940,POINT (-79.3856470491767 43.65934348364708)
743 Pape Ave,743,10386594,32,N/A,10386591,Toronto,,Lipton Ave,115001,,,102,43.6798959084,Pape Ave,280,-79.3450156115,743,,former Toronto,102,Bike Rack,,M4K 3T1,2.9,Toronto-Danforth (14),,,2015,7941,POINT (-79.34501238477132 43.67988732397875)
777 Victoria Park Ave,777,11382307,8,N/A,11382305,Toronto,,Victoria Park Ave,108001,,,103,43.694543565000004,Victoria Park Ave,370,-79.289157057,777,,Scarborough,103,Bike Rack,,,2.9,Scarborough Southwest (20),,,0,7942,POINT (-79.28915705118068 43.69454357004265)
78 Tecumseth St,78,30025064,8,N/A,20053421,Toronto,,King St W,100002,,,104,43.643048043,Tecumseth St,4534,-79.405441427,78,,former Toronto,104,Bike Rack,,M5V 0A9,2.9,Spadina-Fort York (10),,,2016,7943,POINT (-79.40544142218637 43.64304804730625)
790 Bay St,790,7792587,8,N/A,7792579,Toronto,,Bay St,104008,,,105,43.6604545487,Bay St,2962,-79.3861783154,790,,former Toronto,105,Bike Rack,,M5G 1N8,2.9,University-Rosedale (11),,,2016,7944,POINT (-79.38617508454274 43.66044596435027)
798 Richmond St W,798,7569577,16,N/A,7569576,Toronto,,Niagara St,100002,,,106,43.6451383038,Richmond St W,4277,-79.4098140977,798,,former Toronto,106,Bike Rack,,M6J 3P3,2.9,Spadina-Fort York (10),,,2016,7945,POINT (-79.40981085721643 43.64512972449437)
802 College St,802,785507,8,N/A,1144782,Toronto,,Roxton Rd,107010,,,107,43.6548529019,College St,9765,-79.4217131114,802,,former Toronto,107,Bike Rack,,M6G 1C8,2.9,University-Rosedale (11),,,2016,7946,POINT (-79.42170986468233 43.65484431893965)
813 Bloor St W,813,773004,8,N/A,30039479,Toronto,,Bloor St W,112001,,,108,43.662553805,Bloor St W,458,-79.421762941,813,,former Toronto,108,Bike Rack,,M6G 1L8,2.9,University-Rosedale (11),,,2014,7947,POINT (-79.42176294578546 43.66255380260187)
82 Fort York Blvd,82,20364714,8,N/A,30036751,Toronto,,Fort York Blvd,112001,,,109,43.640021775,Fort York Blvd,15826,-79.396770825,82,,former Toronto,109,Bike Rack,,M5V 4A6,2.9,Spadina-Fort York (10),,,2016,7948,POINT (-79.39677083094118 43.64002177349756)
860 College St,860,10576992,8,N/A,10576972,Toronto,,Concord Ave,115001,,,110,43.6544660667,College St,9765,-79.4238571554,860,,former Toronto,110,Bike Rack,,M6H 1A2,2.9,Davenport (9),,,2016,7949,POINT (-79.42385391284145 43.65445748480382)
901 King St W,901,6047970,8,N/A,14024874,Toronto,,King St W,115001,,,111,43.641881007,King St W,3780,-79.4112500219,901,,former Toronto,111,Bike Rack,,M5V 3H5,2.9,Spadina-Fort York (10),,,2016,7950,POINT (-79.41124678400446 43.64187242381263)
92 Fort York Blvd,92,30039986,8,N/A,30036751,Toronto,,Fort York Blvd,115001,,,112,43.639981396,Fort York Blvd,15826,-79.396968175,92,,former Toronto,112,Bike Rack,,M5V 4A7,2.9,Spadina-Fort York (10),,,2016,7951,POINT (-79.39696816950709 43.63998140032183)
92 Sudbury St,92,30035793,14,NO,7553518,Toronto,,Lisgar St,112001,,,113,43.641345894,Sudbury St,4502,-79.423165638,92,,former Toronto,113,Bike Corral,,M6J 0C5,5.5,Davenport (9),,,2017,7952,POINT (-79.42316563774665 43.64134589728486)
940 College St,940,785590,8,N/A,14018364,Toronto,,Dovercourt Rd,107010,,,114,43.6537515607,College St,9765,-79.426630956,940,,former Toronto,114,Bike Rack,,M6H 1A5,2.9,Davenport (9),,,2016,7953,POINT (-79.42662770658423 43.65374297996585)
95 Front St E,95,11075760,8,N/A,11075761,Toronto,,Lower Jarvis St,115001,,,115,43.6491898377,Front St E,3471,-79.3714969414,95,,former Toronto,115,Bike Rack,,M5E 1C2,2.9,Toronto Centre (13),,,2014,7954,POINT (-79.3714937127787 43.64918125883236)
95 River Grove Dr,95,379258,8,N/A,20052191,Toronto,,Kennedy Rd,100001,,,116,43.8209557044,River Grove Dr,8803,-79.3173928836,95,,Scarborough,116,Bike Rack,,M1W 3T8,2.9,Scarborough-Agincourt (22),,,2016,7955,POINT (-79.31738965103837 43.82094709444009)
953 Gerrard St E,953,10034904,16,N/A,10034902,Toronto,,Pape Ave,106007,,,117,43.668053666,Gerrard St E,3495,-79.339396987,953,,former Toronto,117,Bike Rack,"Matty Eckler Playground,Pape Avenue Playground",M4M 1Z4,2.9,Toronto-Danforth (14),,,2016,7956,POINT (-79.33939698304046 43.66805367113105)
